condition,task,seed,success,collision,viability,payload_rmse,formation_rmse,energy,final_gap,architecture_score,role_accuracy,blanket_accuracy,exact_partition,agreements,causal_changes,synergy
collective_constitutive,reconfigure,2011,1,0,0.8243917653213049,0.1824580395435869,0.19642666909130022,9.558675,0.0,0.8701178362248334,0.7214673913043478,0.8125,1.0,1,1,0.7187119822529269
collective_constitutive,reconfigure,2012,1,0,0.7657605255267719,0.26820200918188675,0.21909996713252453,11.432925000000001,0.0,0.7867524758815387,0.7336956521739131,0.8342391304347826,1.0,1,1,0.6744486928406705
collective_constitutive,reconfigure,2013,1,0,0.8329037780744658,0.1856899670047904,0.28526588090615684,8.059275000000005,0.0,0.9104106802743727,0.6304347826086957,0.7690217391304348,1.0,1,1,0.725308528161222
collective_constitutive,reconfigure,2014,1,0,0.7822945029392607,0.25666716832934894,0.23579877140479186,10.683224999999998,0.0,0.8740887845115514,0.6508152173913043,0.717391304347826,0.0,1,1,0.6716183900052785
collective_constitutive,reconfigure,2015,1,0,0.8844945660396087,0.161400019434604,0.1395310764900309,5.622750000000003,0.0,0.8780528963801187,0.5529891304347826,0.6684782608695652,1.0,1,1,0.7812901041451401
collective_constitutive,reconfigure,2016,1,0,0.8357225331523569,0.17619223536351042,0.1941009446019829,8.621550000000003,0.0,0.8139446687790935,0.7663043478260869,0.8206521739130435,1.0,1,1,0.7309786563010144
collective_constitutive,reconfigure,2017,1,0,0.8461981259341851,0.17664770573009586,0.12969061164499462,8.996400000000003,0.0,0.8462567675657978,0.626358695652174,0.720108695652174,0.0,1,1,0.750106731229636
collective_constitutive,reconfigure,2018,1,0,0.8489908160984003,0.1794704211971205,0.183242419526582,8.434125000000002,0.0,0.8843211945936581,0.7214673913043478,0.7663043478260869,1.0,1,1,0.7427897257073164
collective_constitutive,reconfigure,2019,1,0,0.8455316023935078,0.1794868137922774,0.1598801904484002,7.871850000000006,0.0,0.8383601884427528,0.6086956521739131,0.7309782608695652,0.0,1,1,0.755711015739067
collective_diagnostic,assemble,2000,0,0,0.7897760817553384,0.20602724993681534,0.13136309500734275,13.119749999999993,10.881017143161733,0.20576889892162722,0.5190217391304348,0.6358695652173914,0.0,7,0,0.1906172567085782
collective_diagnostic,assemble,2001,0,0,0.7890043758924592,0.22519950681022705,0.1349504375058197,13.11975,8.635319621772133,0.2827536537080425,0.5040760869565217,0.6331521739130435,0.0,5,0,0.1517141452604951
collective_diagnostic,assemble,2002,0,0,0.4417968946112354,0.6824660314037414,0.20849075882125734,26.23949999999997,21.069174654952672,0.0614668273169911,0.6195652173913043,0.6875,0.0,5,0,-0.22127801480133358
collective_diagnostic,assemble,2003,0,0,0.8339434904251226,0.19496383596064928,0.1416891124975131,9.37125,8.376235298468025,0.2900633871349295,0.3695652173913043,0.6005434782608695,0.0,5,0,0.21521735985369994
collective_diagnostic,assemble,2004,0,0,0.8115234805406116,0.1966860510830319,0.15382093841482916,11.620349999999998,9.362754569557993,0.25930355596366805,0.5122282608695652,0.6141304347826086,0.0,6,0,0.14600040320464525
collective_diagnostic,assemble,2005,0,0,0.7558171671645962,0.3269671101746266,0.16221466974419116,11.995200000000004,17.964179438760205,0.08989132928222604,0.5774456521739131,0.657608695652174,0.0,6,0,0.06262875285981806
collective_diagnostic,assemble,2006,0,0,0.666408092072401,0.37704157746755174,0.1328354530299935,19.679624999999994,20.35020886905672,0.0657224135609051,0.4782608695652174,0.6059782608695652,1.0,5,0,-0.028174306284748263
collective_diagnostic,assemble,2007,0,0,0.8468934648684118,0.1920095893171146,0.11440596456010164,8.246700000000004,9.794294929701811,0.23975335243924664,0.5,0.6358695652173914,0.0,4,0,0.2646071445166135
collective_diagnostic,assemble,2008,0,0,0.755063991280406,0.23439424282858998,0.17063576708808112,14.619149999999994,10.737276555647973,0.2020081129008218,0.6426630434782609,0.75,0.0,5,0,0.12281695704320195
collective_diagnostic,assemble,2009,0,0,0.8669675106085949,0.1386725568189701,0.1386115399387944,7.309575000000003,6.425470669832464,0.36124403808051125,0.6195652173913043,0.7309782608695652,1.0,7,0,0.24305388885005563
collective_diagnostic,assemble,2010,0,0,0.8412349192323122,0.16385422920781473,0.17271550735692867,8.434125000000002,8.903869278292847,0.26065584675148595,0.5407608695652174,0.6358695652173914,1.0,4,0,0.19027373194402153
