condition,task,seed,success,collision,viability,mean_gap,final_gap,architecture_score,boundary_precision,role_accuracy,blanket_accuracy,exact_partition,causal_changes,recovery_delay
factorized,transform,1012,0,0,0.8753064596606374,0.0,0.0,0.5156787546694448,0.5156787546694448,0.760670731707317,0.8262195121951219,0.0,0,0.0
factorized,transform,1013,0,0,0.8901709197680042,0.0,0.0,0.5156469503090382,0.5156469503090382,0.7225609756097561,0.7713414634146342,1.0,0,0.0
factorized,transform,1014,0,0,0.8382875371944936,0.0,0.0,0.44879071941542914,0.44879071941542914,0.7591463414634146,0.774390243902439,0.0,0,0.0
factorized,transform,1015,0,0,0.854034964285936,0.0,0.0,0.45316559609674645,0.45316559609674645,0.7134146341463414,0.7774390243902439,0.0,0,0.0
factorized,transform,1016,0,0,0.8990526474593069,0.0,0.0,0.540066753611166,0.540066753611166,0.7789634146341463,0.8353658536585366,1.0,0,0.0
factorized,transform,1017,0,0,0.8271361370491529,0.0,0.0,0.4560709024738434,0.4560709024738434,0.8003048780487805,0.8262195121951219,1.0,0,0.0
factorized,transform,1018,0,0,0.8029046799487951,0.0,0.0,0.4624200382016673,0.4624200382016673,0.6996951219512195,0.7652439024390244,0.0,0,0.0
factorized,transform,1019,0,0,0.879029969613908,0.0,0.0,0.5205870048950415,0.5205870048950415,0.6783536585365854,0.7378048780487805,0.0,0,0.0
random_design,construct,1000,1,0,0.9570681625128109,7.851079503306232,0.0,0.8378507792202057,0.8378507792202057,0.739329268292683,0.8048780487804879,1.0,3,44.0
random_design,construct,1001,1,0,0.919296407374166,2.299764330851403,0.0,0.7570172423461641,0.7570172423461641,0.6859756097560976,0.7652439024390244,0.0,3,11.0
random_design,construct,1002,1,0,0.9361297058720633,4.985827807986919,0.0,0.8041044859021029,0.8041044859021029,0.625,0.6707317073170732,1.0,3,34.0
random_design,construct,1003,1,0,0.9213754452047496,12.769028269885638,0.0,0.818677076902855,0.818677076902855,0.6722560975609756,0.7317073170731707,1.0,3,63.0
random_design,construct,1004,1,0,0.9382105446654526,3.4809090378753056,0.0,0.7667238499365361,0.7667238499365361,0.7728658536585366,0.8323170731707317,1.0,3,15.0
random_design,construct,1005,1,0,0.9707939265569313,1.441188224454722,0.0,0.886417070209635,0.886417070209635,0.7820121951219512,0.801829268292683,1.0,3,11.0
random_design,construct,1006,1,0,0.9266519946689301,10.297779153642399,0.0,0.8276161893321864,0.8276161893321864,0.49847560975609756,0.6067073170731707,1.0,3,64.0
random_design,construct,1007,1,0,0.8605948953008367,8.798456742789252,0.0,0.8011107965703446,0.8011107965703446,0.7195121951219512,0.7987804878048781,1.0,3,36.0
random_design,construct,1008,1,0,0.8640883981788996,4.873132955957157,0.0,0.7720732528848475,0.7720732528848475,0.573170731707317,0.6798780487804879,1.0,3,19.0
